amenity_id,amenity_type,latitude,longitude
central-park-1,park,30.26933301955828,-97.75037988874368
central-park-2,park,30.272453158370645,-97.73651604698526
central-park-3,park,30.253542753679422,-97.75221525654804
central-school-1,school,30.26809488282217,-97.7453136981464
central-school-2,school,30.267082391897468,-97.74907130749301
central-transit-1,transit,30.273355785824037,-97.73765545645199
central-transit-2,transit,30.26766221488293,-97.73520931155122
central-transit-3,transit,30.270472565395764,-97.74911504724018
south-park-1,park,30.23758125548858,-97.7767121782058
south-park-2,park,30.241149152109152,-97.7703494813769
south-park-3,park,30.233705963455183,-97.77476650681082
south-school-1,school,30.24355778937072,-97.77108170637447
south-school-2,school,30.23200170524486,-97.77246493485342
south-transit-1,transit,30.23872616429887,-97.76744189154945
south-transit-2,transit,30.23788912828117,-97.76698425297894
south-transit-3,transit,30.249991533206092,-97.7728449051147
east-park-1,park,30.2614143008965,-97.71569640909773
east-park-2,park,30.26931185595803,-97.70209719395095
east-park-3,park,30.264202367796415,-97.71588109533873
east-school-1,school,30.259228631490164,-97.70544585048522
east-school-2,school,30.270202779198424,-97.70619792012185
east-transit-1,transit,30.26034143204898,-97.70837487073852
east-transit-2,transit,30.265816800663984,-97.70846917982288
east-transit-3,transit,30.27110000144564,-97.70843483115857
north-park-1,park,30.3147523949415,-97.73452694651358
north-park-2,park,30.31202383579083,-97.73058098241913
north-park-3,park,30.299799909261008,-97.7372376985145
north-school-1,school,30.30670739141995,-97.73947214493771
north-school-2,school,30.308074004241412,-97.72453541082136
north-transit-1,transit,30.303939182190145,-97.72822205151786
north-transit-2,transit,30.29821991159869,-97.7373441952099
north-transit-3,transit,30.311139271455733,-97.73089644368048
